dataset,setting,design,method,n,strength,reps,ref_mse,current_mse,residual_mse,current_gain,residual_gain,residual_gain_ci_low,residual_gain_ci_high,residual_minus_current_gain,residual_minus_current_gain_ci_low,residual_minus_current_gain_ci_high,current_activation,residual_activation,gamma_change_rate,current_harm_rate,residual_harm_rate,mean_base_residual_loss,mean_current_residual_loss,mean_selected_residual_loss,significance_class
IHDP,"IHDP B, strength=0",ihdp_misaligned,cui_selective_ml,3000,0.0,96,0.0007336966218266803,0.0007383251888754702,0.0007368886805406952,-0.006308557121697422,-0.004350652052980353,nan,nan,0.0019579050687170696,nan,nan,0.03125,0.041666666666666664,0.010416666666666666,0.03125,0.03125,1.0365425689215242,1.0348208404217891,1.034372668658604,crosses_zero
IHDP,"IHDP B, strength=0",ihdp_misaligned,ma_dr_bc,3000,0.0,96,0.008778271435809731,0.008396539367485894,0.008309553538363088,0.04348601784704609,0.05339523855853612,nan,nan,0.00990922071149003,nan,nan,0.11458333333333333,0.13541666666666666,0.17708333333333334,0.041666666666666664,0.041666666666666664,11.43531060661539,11.400881254386434,11.310941985567064,crosses_zero
IHDP,"IHDP B, strength=0",ihdp_misaligned,tmle,3000,0.0,96,0.001669739467450743,0.0016305640957647019,0.0016276954597500492,0.023461966641928678,0.025179980781602995,nan,nan,0.0017180141396743176,nan,nan,0.125,0.13541666666666666,0.020833333333333332,0.0625,0.0625,11.29607567785284,11.174518843568435,11.17081117450715,crosses_zero
IHDP,"IHDP B, strength=3",ihdp_misaligned,aipw,3000,3.0,96,0.0033651650025805064,0.0032041814860612676,0.003209283045110023,0.04783822380055425,0.046322233040860805,nan,nan,-0.0015159907596934419,nan,nan,0.125,0.13541666666666666,0.010416666666666666,0.041666666666666664,0.052083333333333336,11.757178363236628,11.651805478906233,11.647569193495725,crosses_zero
IHDP,"IHDP B, strength=3",ihdp_misaligned,ctmle,3000,3.0,96,0.0009110210726853294,0.0009110210726853294,0.0009110210726853294,0.0,0.0,nan,nan,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.8304929674254127,0.8304929674254127,0.8304929674254127,crosses_zero
IHDP,"IHDP B, strength=3",ihdp_misaligned,cui_selective_ml,3000,3.0,96,0.0008140338193297175,0.0008112891448838039,0.0008121353995263316,0.0033716958444963696,0.0023321141681178492,nan,nan,-0.0010395816763785204,nan,nan,0.07291666666666667,0.07291666666666667,0.020833333333333332,0.03125,0.041666666666666664,1.0238795469534299,1.0214561713726205,1.0214203612114239,crosses_zero
IHDP,"IHDP B, strength=3",ihdp_misaligned,ma_dr_bc,3000,3.0,96,0.009228576166416279,0.009369828810324629,0.009250080921570767,-0.015306006187864929,-0.0023302354303305073,nan,nan,0.012975770757534422,nan,nan,0.13541666666666666,0.13541666666666666,0.125,0.08333333333333333,0.07291666666666667,11.757178363236628,11.692144703023411,11.647569193495725,crosses_zero
IHDP,"IHDP B, strength=3",ihdp_misaligned,tmle,3000,3.0,96,0.0015693489113388916,0.0015291047901202512,0.0015277658568337406,0.0256438328837314,0.026497010451088543,nan,nan,0.000853177567357144,nan,nan,0.0625,0.11458333333333333,0.052083333333333336,0.020833333333333332,0.041666666666666664,11.617820749189121,11.558759815191616,11.535877757698197,crosses_zero
Kang-Schafer,"KS CC, n=1000",kang_schafer_cc,aipw,1000,0.0,96,4.643128695645413,3.1177379414613426,3.2269073719412185,0.3285264859478626,0.3050144453313144,nan,nan,-0.023512040616548213,nan,nan,1.0,0.9791666666666666,0.22916666666666666,0.3958333333333333,0.375,6851.657888874499,5010.962674803669,5003.404667168405,crosses_zero
Kang-Schafer,"KS CC, n=1000",kang_schafer_cc,ctmle,1000,0.0,96,2.2491671562509254,2.2491671562509254,1.5648901808170141,0.0,0.30423571388731896,nan,nan,0.30423571388731896,nan,nan,0.0,1.0,1.0,0.0,0.3020833333333333,103.46303235718538,103.46303235718538,73.17409890908145,crosses_zero
Kang-Schafer,"KS CC, n=1000",kang_schafer_cc,cui_selective_ml,1000,0.0,96,1.4742298667397955,1.477643805638391,1.4750906476821897,-0.002315743952566285,-0.0005838851605264317,nan,nan,0.0017318587920398532,nan,nan,0.17708333333333334,0.11458333333333333,0.22916666666666666,0.08333333333333333,0.0625,4.090307662668991,4.268012435460034,4.053620477226035,crosses_zero
Kang-Schafer,"KS CC, n=1000",kang_schafer_cc,ma_dr_bc,1000,0.0,96,9.189124984422325,6.347121804787313,4.863870336034386,0.3092789775362572,0.4706927651675473,nan,nan,0.1614137876312901,nan,nan,0.8645833333333334,0.9791666666666666,0.6770833333333334,0.23958333333333334,0.3020833333333333,6851.657888874499,5384.508936557695,5003.404667168405,crosses_zero
Kang-Schafer,"KS CC, n=1000",kang_schafer_cc,tmle,1000,0.0,96,1.535628473143345,2.302944855488349,2.1999192511437484,-0.4996757977366433,-0.43258560883586483,nan,nan,0.06709018890077845,nan,nan,0.96875,0.96875,0.21875,0.5729166666666666,0.5729166666666666,6681.926200375917,4952.230813075672,4918.692019783755,crosses_zero
Kang-Schafer,"KS CC, n=200",kang_schafer_cc,aipw,200,0.0,96,63.369561234217805,48.1215589084998,47.4455600674958,0.24062029196257884,0.2512878558187569,nan,nan,0.010667563856178064,nan,nan,0.5833333333333334,0.5520833333333334,0.11458333333333333,0.25,0.20833333333333334,20868.232404440394,17346.191541653974,17449.852740221297,crosses_zero
Kang-Schafer,"KS CC, n=200",kang_schafer_cc,ctmle,200,0.0,96,11.779932776757391,11.88237477675198,10.247084526270397,-0.008696314481243306,0.1301236840257194,nan,nan,0.1388199985069627,nan,nan,0.07291666666666667,0.9375,0.9166666666666666,0.041666666666666664,0.3958333333333333,290.27494583242975,286.77746127442634,234.602613440844,crosses_zero
Kang-Schafer,"KS CC, n=200",kang_schafer_cc,cui_selective_ml,200,0.0,96,7.024340927169317,7.0457603605174155,7.023633227224245,-0.003049315739395597,0.00010074965785533685,nan,nan,0.003150065397250934,nan,nan,0.09375,0.0625,0.15625,0.052083333333333336,0.03125,3.6412512720530574,3.810459239407732,3.5769935121081993,crosses_zero
Kang-Schafer,"KS CC, n=200",kang_schafer_cc,ma_dr_bc,200,0.0,96,42.294433725747574,37.58590218486926,35.40203786564011,0.11132745200964589,0.1629622447436051,nan,nan,0.05163479273395921,nan,nan,0.5208333333333334,0.5520833333333334,0.5625,0.1875,0.21875,20868.232404440394,19309.04481643387,17449.852740221297,crosses_zero
Kang-Schafer,"KS CC, n=200",kang_schafer_cc,tmle,200,0.0,96,10.027841035156499,16.511840863339756,15.683285329902327,-0.6465997820917857,-0.5639742667358276,nan,nan,0.08262551535595808,nan,nan,0.53125,0.5,0.13541666666666666,0.3854166666666667,0.3541666666666667,18976.975016730325,16789.74512578481,16847.031875388955,crosses_zero
