group,design,method,n,strength,reps,reference_mse,no_shrinkage_mse,c2_shrinkage_mse,no_shrinkage_gain,no_shrinkage_gain_ci_low,no_shrinkage_gain_ci_high,c2_shrinkage_gain,c2_shrinkage_gain_ci_low,c2_shrinkage_gain_ci_high,c2_minus_no_shrinkage_gain,c2_minus_no_shrinkage_gain_ci_low,c2_minus_no_shrinkage_gain_ci_high,path_activation,final_activation,no_shrinkage_harm,c2_shrinkage_harm,mean_shrink_weight
kang_schafer,kang_schafer_ic,cui_selective_ml,200,0,96,13.7404345672,11.4061206844,12.3950753313,0.169886466939,0.0205397942649,0.317824683875,0.0979124225874,0.00962043436476,0.193266241874,-0.0719740443519,-0.15118274132,0.0132217753016,0.770833333333,0.125,0.3125,0.0416666666667,0.0618640887299
kang_schafer,kang_schafer_ic,cui_selective_ml,1000,0,96,1.96552415732,1.75441121058,1.92399417923,0.107407963397,-0.0461851929635,0.244488163841,0.0211292127569,-0.0269040357392,0.0708107658598,-0.0862787506397,-0.200033542662,0.0374999724018,1,0.177083333333,0.4375,0.0416666666667,0.0688013215425
kang_schafer,kang_schafer_ic,ma_dr_bc,200,0,96,55.6291672841,54.527318528,55.1069467651,0.0198070330704,-0.117371562149,0.123591616907,0.00938753075862,-0.0737907602514,0.0651536272347,-0.0104195023118,-0.0662883315291,0.0549792445448,0.28125,0.145833333333,0.145833333333,0.0625,0.0769599335709
kang_schafer,kang_schafer_ic,ma_dr_bc,1000,0,96,6.75425846168,6.27031699142,6.4509306504,0.0716498299554,0.0187957383745,0.126490315168,0.044909121112,0.00758283906472,0.0952493605683,-0.0267407088434,-0.0528132602705,0.00305117421268,0.427083333333,0.208333333333,0.1875,0.0520833333333,0.117059779884
kang_schafer,kang_schafer_ic,tmle,200,0,96,14.6787933671,15.9553555462,14.8336177432,-0.0869664247719,-0.300655496138,0.0609425163659,-0.0105474865877,-0.0525299618746,0.0122650264529,0.0764189381842,-0.0585317844405,0.262242741152,0.3125,0.0520833333333,0.166666666667,0.0208333333333,0.0118961068284
kang_schafer,kang_schafer_ic,tmle,1000,0,96,1.8006469489,1.95656975945,1.84069076,-0.0865926608466,-0.311018507495,0.0699730663398,-0.0222385688232,-0.123590392634,0.0395885009968,0.0643540920234,-0.0535064337477,0.210024224575,0.520833333333,0.104166666667,0.260416666667,0.03125,0.0414310847447
kang_schafer,kang_schafer_ii,aipw,200,0,96,65.9982553093,48.735516469,59.2974203939,0.261563563452,0.0838645156305,0.431668642784,0.101530485677,-0.000617819396003,0.230215611657,-0.160033077775,-0.228774190944,-0.073251547791,0.322916666667,0.0833333333333,0.114583333333,0.0208333333333,0.0167896696154
kang_schafer,kang_schafer_ii,aipw,1000,0,96,4.91005200035,4.10255024701,4.44166166076,0.164458900493,0.0537308391496,0.260831973397,0.0953941708884,0.0316140566145,0.172686102766,-0.0690647296048,-0.123968256627,0.00219545214687,0.666666666667,0.125,0.322916666667,0.0104166666667,0.0578140200609
kang_schafer,kang_schafer_ii,ctmle,200,0,96,15.2739951608,15.2739951608,15.2739951608,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kang_schafer,kang_schafer_ii,ctmle,1000,0,96,2.79841432317,2.79841432317,2.79841432317,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kang_schafer,kang_schafer_ii,cui_selective_ml,200,0,96,16.5581104604,11.5897728121,14.6731036812,0.300054626418,0.164876856472,0.414112483749,0.113841901448,0.0314695527201,0.202316841711,-0.186212724969,-0.273924032749,-0.0882243575366,0.875,0.15625,0.28125,0.0104166666667,0.0666004281026
kang_schafer,kang_schafer_ii,cui_selective_ml,1000,0,96,2.83878775351,1.90460031539,2.46261436186,0.329079705577,0.203018780911,0.441219751108,0.132511981985,0.0524421677364,0.22267171486,-0.196567723592,-0.278936908515,-0.104126615763,0.979166666667,0.447916666667,0.25,0.0833333333333,0.207997490356
