group,design,method,n,strength,reps,reference_mse,proposal_mse,repaired_mse,proposal_gain,repaired_gain,repaired_gain_ci_low,repaired_gain_ci_high,path_activation,final_activation,conditional_gain_when_active,conditional_harm_when_active,unconditional_harm,mean_shrink_weight
kang_schafer,kang_schafer_cc,ma_dr_bc,200,0,96,42.2944337257,37.5859021849,38.1520271544,0.11132745201,0.097942121609,0.0158696943962,0.1886779583,0.520833333333,0.25,0.316927745699,0.375,0.09375,0.159605337959
kang_schafer,kang_schafer_cc,ma_dr_bc,1000,0,96,9.18912498442,6.34712180479,6.89630572743,0.309278977536,0.249514427204,0.170603855798,0.326215606892,0.864583333333,0.59375,0.39141301379,0.140350877193,0.0833333333333,0.425996558679
kang_schafer,kang_schafer_cc,tmle,200,0,96,10.0278410352,16.5118408633,10.4883791648,-0.646599782092,-0.0459259503641,-0.106247762621,-0.0057086732314,0.53125,0.09375,-0.608380106664,0.777777777778,0.0729166666667,0.0319190867198
kang_schafer,kang_schafer_cc,tmle,1000,0,96,1.53562847314,2.30294485549,1.48070597721,-0.499675797737,0.0357654842269,-0.0290548851206,0.116790916429,0.96875,0.09375,0.237205108775,0.444444444444,0.0416666666667,0.0356416522477
kang_schafer,kang_schafer_ci,aipw,200,0,96,67.2219716908,48.8726322838,60.4627312602,0.27296639693,0.100551058836,0.0276470526845,0.194937960671,0.75,0.1875,0.442179547664,0.0555555555556,0.0104166666667,0.0699691583713
kang_schafer,kang_schafer_ci,aipw,1000,0,96,5.23599384725,3.85124753566,4.63156391605,0.264466756836,0.11543747927,-0.0223889186702,0.23064906921,0.989583333333,0.239583333333,0.318929539229,0.217391304348,0.0520833333333,0.117796790223
kang_schafer,kang_schafer_ci,ctmle,200,0,96,11.626606922,11.6284316957,11.626606922,-0.000156948084432,0,0,0,0.03125,0,,,0,0
kang_schafer,kang_schafer_ci,ctmle,1000,0,96,2.29526766003,2.29526766003,2.29526766003,0,0,0,0,0,0,,,0,0
kang_schafer,kang_schafer_ci,cui_selective_ml,200,0,96,6.71468702674,6.69144446094,6.70925593922,0.00346145184487,0.000808837031037,-6.80064192232e-06,0.00268185248113,0.135416666667,0.03125,0.042808849405,0.333333333333,0.0104166666667,0.0098096522256
kang_schafer,kang_schafer_ci,cui_selective_ml,1000,0,96,1.15282037701,1.15238246174,1.15282037701,0.00037986426913,0,0,0,0.09375,0,,,0,0
kang_schafer,kang_schafer_ci,ma_dr_bc,200,0,96,52.8171186708,39.6317849031,43.0503016555,0.249641292436,0.184917641498,0.0553771292955,0.336659962363,0.53125,0.208333333333,0.383171621534,0.2,0.0416666666667,0.125358032243
kang_schafer,kang_schafer_ci,ma_dr_bc,1000,0,96,8.14604768798,4.74117535081,5.26367649003,0.417978443975,0.35383676948,0.274810291367,0.435570007868,0.895833333333,0.583333333333,0.487723106027,0.160714285714,0.09375,0.430258114849
kang_schafer,kang_schafer_ci,tmle,200,0,96,11.2091367859,15.1318572873,10.9017353003,-0.349957412087,0.027424188992,-0.0304787534912,0.0864042362327,0.6875,0.135416666667,0.15805749206,0.461538461538,0.0625,0.0367486682327
kang_schafer,kang_schafer_ci,tmle,1000,0,96,1.55582446902,2.57315111206,1.74912195228,-0.653882660484,-0.124241189876,-0.34654940258,0.0442058477867,0.989583333333,0.1875,-0.728650014894,0.666666666667,0.125,0.0895394284776
