source,dataset,setting,group,design,method,n,strength,seed0,rep,selected_tau,floor_share,observed_floor_share,residual_weight_ess_share,ipw_weight_ess_share,max_residual_weight_share,max_ipw_weight_share,score_tail_ratio,floor_sensitivity_se
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 B, strength=3",real_benchmark,acic2016_misaligned,aipw,3000,3.0,2037300000,2,0.05,0.11,0.016541353383458645,0.03529015490533915,0.1886632490309801,0.013550610715403954,0.004676165448945098,17.77987979321643,1.4078640061023928
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 B, strength=3",real_benchmark,acic2016_misaligned,aipw,3000,3.0,2037300000,3,0.05,0.08866666666666667,0.01629132726401533,0.03635834794641518,0.1934374899776965,0.013317870002692989,0.004577021779005274,13.189592142055185,2.002638394716484
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 B, strength=3",real_benchmark,acic2016_misaligned,aipw,3000,3.0,2037300000,4,0.05,0.10233333333333333,0.014007003501750876,0.0307731177417082,0.20296614673424937,0.016432105223595932,0.004914907204205073,14.275504185369,1.0280289480772378
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 B, strength=3",real_benchmark,acic2016_misaligned,aipw,3000,3.0,2037400000,1,0.05,0.12533333333333332,0.017902813299232736,0.03346953992545112,0.18766926253809327,0.01448684581613346,0.004837078667555043,22.196337170202543,2.0766683172636498
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 B, strength=3",real_benchmark,acic2016_misaligned,aipw,3000,3.0,2037400000,2,0.05,0.10533333333333333,0.0136986301369863,0.02904221336160276,0.1919634074055548,0.01639726253678494,0.0050600928514718604,16.053087222499528,3.0332580578120516
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 B, strength=3",real_benchmark,acic2016_misaligned,aipw,3000,3.0,2037400000,3,0.05,0.11566666666666667,0.014306857424765663,0.03072283256319132,0.1886111978262788,0.015823085407965995,0.005025054061662903,16.197876163240327,1.463199069364685
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 B, strength=3",real_benchmark,acic2016_misaligned,aipw,3000,3.0,2037400000,4,0.05,0.09766666666666667,0.015107212475633527,0.03135710862054548,0.1975698580567576,0.015532864549819855,0.004859343608086492,16.917943702595533,0.5872999861216281
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 B, strength=3",real_benchmark,acic2016_misaligned,aipw,3000,3.0,2037500000,1,0.05,0.12033333333333333,0.019627579265223957,0.03653413067696186,0.18569843015212475,0.012632393751442164,0.00456444710810135,18.810177938889197,0.655378997403692
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 B, strength=3",real_benchmark,acic2016_misaligned,aipw,3000,3.0,2037500000,2,0.05,0.113,0.022727272727272728,0.03664567087776713,0.1793640713812557,0.01242497833366783,0.004613979629186194,13.239903463089437,1.1419679319079168
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 B, strength=3",real_benchmark,acic2016_misaligned,aipw,3000,3.0,2037500000,3,0.05,0.10866666666666666,0.017232890201871,0.03335198156931391,0.18574892258792258,0.013899539358359974,0.004771326327999545,13.244353754934998,2.5944299567745293
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 B, strength=3",real_benchmark,acic2016_misaligned,aipw,3000,3.0,2037500000,4,0.05,0.10166666666666667,0.01775147928994083,0.042261824610890154,0.1827786082321274,0.011336571068920482,0.0043762426188292385,16.0913578791456,2.005348823756886
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 B, strength=3",real_benchmark,acic2016_misaligned,aipw,3000,3.0,2037600000,1,0.05,0.11166666666666666,0.015384615384615385,0.031376332164148514,0.1893142916160046,0.015048085143901572,0.004899949468318658,15.068250407791869,6.232774553688327
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 B, strength=3",real_benchmark,acic2016_misaligned,aipw,3000,3.0,2037600000,2,0.05,0.11166666666666666,0.018746916625555006,0.03636261508656147,0.18036569153739626,0.012771396557547275,0.004659707877850726,11.893128070519245,3.116346495854996
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 B, strength=3",real_benchmark,acic2016_misaligned,aipw,3000,3.0,2037600000,3,0.05,0.10533333333333333,0.016417189763399325,0.032435886085044344,0.18603519657987047,0.01409053105859546,0.004797693302630104,13.772375402669125,1.8153727078125836
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 B, strength=3",real_benchmark,acic2016_misaligned,aipw,3000,3.0,2037600000,4,0.05,0.10833333333333334,0.017352503718393655,0.032547601992076076,0.19135318986941743,0.014276569092075728,0.00475456017102289,14.795483915220776,4.471702521308915
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 B, strength=3",real_benchmark,acic2016_misaligned,aipw,3000,3.0,2037700000,1,0.05,0.10666666666666667,0.011741682974559686,0.03126798998354145,0.20318492086006743,0.01635452243646286,0.004901374057405462,14.141589686419008,0.8117676887228994
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 B, strength=3",real_benchmark,acic2016_misaligned,aipw,3000,3.0,2037700000,2,0.05,0.10133333333333333,0.012572533849129593,0.029273973858786207,0.19919992717031346,0.016824138386477682,0.005018999212423797,14.526354435283842,0.32853713850713934
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 B, strength=3",real_benchmark,acic2016_misaligned,aipw,3000,3.0,2037700000,3,0.05,0.10833333333333334,0.01278898180029513,0.030383184503926935,0.1940654547381746,0.01650706116381203,0.005045936626604615,17.32778120856376,5.647315945486302
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 B, strength=3",real_benchmark,acic2016_misaligned,aipw,3000,3.0,2037700000,4,0.05,0.12266666666666666,0.018849206349206348,0.03353010166031694,0.17999968492551852,0.013572742308043282,0.0047989072649495665,15.85939340743988,3.688364565942146
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 B, strength=3",real_benchmark,acic2016_misaligned,aipw,3000,3.0,2037800000,1,0.05,0.10033333333333333,0.020985846754514398,0.03768688762016837,0.18481081738825036,0.01213127899748647,0.0044905437079727824,20.153347804095805,1.7513279501220562
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 B, strength=3",real_benchmark,acic2016_misaligned,aipw,3000,3.0,2037800000,2,0.05,0.08966666666666667,0.01574028529267093,0.03304221193155614,0.1934493730487715,0.014627252781860717,0.0047802425402617265,16.56840683476186,2.0476107025043686
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 B, strength=3",real_benchmark,acic2016_misaligned,aipw,3000,3.0,2037800000,3,0.05,0.098,0.009345794392523364,0.03144314213872904,0.20648535532156267,0.017299696233335632,0.004985732670826387,13.431795909013635,0.3808066322962771
