dataset,setting,method,n,strength,c,reps,reference_mse,repaired_mse,gain,gain_ci_low,gain_ci_high,activation,harm,mean_weight
acic2016,A_s3,aipw,3000,3,1,96,0.00837083167655,0.00831974709096,0.00610268938147,-0.0059479014519,0.0220571360685,0.0416666666667,0.0208333333333,0.0245224875253
acic2016,A_s3,aipw,3000,3,1.25,96,0.00837083167655,0.00832462209303,0.00552030972618,-0.00461181719066,0.0192988096448,0.0416666666667,0.0208333333333,0.0202364427399
acic2016,A_s3,aipw,3000,3,1.5,96,0.00837083167655,0.00833000852917,0.00487683290727,-0.00337143410514,0.0166100561988,0.0416666666667,0.0208333333333,0.0159503979545
acic2016,A_s3,aipw,3000,3,1.75,96,0.00837083167655,0.00833590639938,0.00417225892474,-0.00229691010998,0.0141930623244,0.0416666666667,0.0208333333333,0.0116643531692
acic2016,A_s3,aipw,3000,3,2,96,0.00837083167655,0.00834471975681,0.00311939371707,-0.00187147405218,0.0117624023647,0.03125,0.0104166666667,0.00828829312948
acic2016,A_s3,aipw,3000,3,2.25,96,0.00837083167655,0.00834767378648,0.00276649811657,-0.00133930856851,0.010375680808,0.0208333333333,0.0104166666667,0.00646554290682
acic2016,A_s3,aipw,3000,3,2.5,96,0.00837083167655,0.00834909281753,0.00259697720061,-0.000620666122034,0.00917380860702,0.0208333333333,0.0104166666667,0.00486912174832
acic2016,A_s3,aipw,3000,3,2.75,96,0.00837083167655,0.00835085060089,0.00238698810701,0,0.00795428713431,0.0104166666667,0,0.00338789401618
acic2016,A_s3,aipw,3000,3,3,96,0.00837083167655,0.00835452784463,0.00194769558724,0,0.00649040935967,0.0104166666667,0,0.00274891468431
acic2016,A_s3,aipw,3000,3,3.25,96,0.00837083167655,0.00835824754262,0.00150333137863,0,0.00500963092717,0.0104166666667,0,0.00210993535245
acic2016,A_s3,aipw,3000,3,3.5,96,0.00837083167655,0.00836200969487,0.00105389548118,0,0.00351195183683,0.0104166666667,0,0.00147095602059
acic2016,A_s3,aipw,3000,3,3.75,96,0.00837083167655,0.00836581430137,0.000599387894898,0,0.00199737208864,0.0104166666667,0,0.000831976688726
acic2016,A_s3,aipw,3000,3,4,96,0.00837083167655,0.00836966136213,0.00013980861977,0,0.000465891682594,0.0104166666667,0,0.000192997356863
acic2016,A_s3,aipw,3000,3,4.25,96,0.00837083167655,0.00837083167655,0,0,0,0,0,0
acic2016,A_s3,aipw,3000,3,4.5,96,0.00837083167655,0.00837083167655,0,0,0,0,0,0
acic2016,A_s3,aipw,3000,3,4.75,96,0.00837083167655,0.00837083167655,0,0,0,0,0,0
acic2016,A_s3,aipw,3000,3,5,96,0.00837083167655,0.00837083167655,0,0,0,0,0,0
acic2016,A_s3,aipw,3000,3,6,96,0.00837083167655,0.00837083167655,0,0,0,0,0,0
acic2016,A_s3,aipw,3000,3,8,96,0.00837083167655,0.00837083167655,0,0,0,0,0,0
acic2016,A_s3,aipw,3000,3,10,96,0.00837083167655,0.00837083167655,0,0,0,0,0,0
acic2016,A_s3,ctmle,3000,3,0,96,0.0147191928337,0.0147191928337,0,0,0,0,0,0
acic2016,A_s3,ctmle,3000,3,0.25,96,0.0147191928337,0.0147191928337,0,0,0,0,0,0
acic2016,A_s3,ctmle,3000,3,0.5,96,0.0147191928337,0.0147191928337,0,0,0,0,0,0
acic2016,A_s3,ctmle,3000,3,0.75,96,0.0147191928337,0.0147191928337,0,0,0,0,0,0
acic2016,A_s3,ctmle,3000,3,1,96,0.0147191928337,0.0147191928337,0,0,0,0,0,0
acic2016,A_s3,ctmle,3000,3,1.25,96,0.0147191928337,0.0147191928337,0,0,0,0,0,0
acic2016,A_s3,ctmle,3000,3,1.5,96,0.0147191928337,0.0147191928337,0,0,0,0,0,0
acic2016,A_s3,ctmle,3000,3,1.75,96,0.0147191928337,0.0147191928337,0,0,0,0,0,0
acic2016,A_s3,ctmle,3000,3,2,96,0.0147191928337,0.0147191928337,0,0,0,0,0,0
acic2016,A_s3,ctmle,3000,3,2.25,96,0.0147191928337,0.0147191928337,0,0,0,0,0,0
acic2016,A_s3,ctmle,3000,3,2.5,96,0.0147191928337,0.0147191928337,0,0,0,0,0,0
acic2016,A_s3,ctmle,3000,3,2.75,96,0.0147191928337,0.0147191928337,0,0,0,0,0,0
acic2016,A_s3,ctmle,3000,3,3,96,0.0147191928337,0.0147191928337,0,0,0,0,0,0
acic2016,A_s3,ctmle,3000,3,3.25,96,0.0147191928337,0.0147191928337,0,0,0,0,0,0
acic2016,A_s3,ctmle,3000,3,3.5,96,0.0147191928337,0.0147191928337,0,0,0,0,0,0
acic2016,A_s3,ctmle,3000,3,3.75,96,0.0147191928337,0.0147191928337,0,0,0,0,0,0
acic2016,A_s3,ctmle,3000,3,4,96,0.0147191928337,0.0147191928337,0,0,0,0,0,0
acic2016,A_s3,ctmle,3000,3,4.25,96,0.0147191928337,0.0147191928337,0,0,0,0,0,0
acic2016,A_s3,ctmle,3000,3,4.5,96,0.0147191928337,0.0147191928337,0,0,0,0,0,0
acic2016,A_s3,ctmle,3000,3,4.75,96,0.0147191928337,0.0147191928337,0,0,0,0,0,0
acic2016,A_s3,ctmle,3000,3,5,96,0.0147191928337,0.0147191928337,0,0,0,0,0,0
acic2016,A_s3,ctmle,3000,3,6,96,0.0147191928337,0.0147191928337,0,0,0,0,0,0
acic2016,A_s3,ctmle,3000,3,8,96,0.0147191928337,0.0147191928337,0,0,0,0,0,0
acic2016,A_s3,ctmle,3000,3,10,96,0.0147191928337,0.0147191928337,0,0,0,0,0,0
acic2016,A_s3,cui_selective_ml,3000,3,0,96,0.0128818380555,0.0128277317713,0.00420019906638,-0.00545489379486,0.0135647212139,0.197916666667,0.0416666666667,0.197916666667
acic2016,A_s3,cui_selective_ml,3000,3,0.25,96,0.0128818380555,0.012848354675,0.00259927040973,-0.00574754568117,0.0107916731661,0.125,0.03125,0.0949952551946
acic2016,A_s3,cui_selective_ml,3000,3,0.5,96,0.0128818380555,0.0128571898993,0.00191340366934,-0.00533630477153,0.00913417540936,0.114583333333,0.03125,0.070161358922
acic2016,A_s3,cui_selective_ml,3000,3,0.75,96,0.0128818380555,0.0128604948177,0.00165684724176,-0.00463952543711,0.00810501534071,0.09375,0.0208333333333,0.0521061192104
acic2016,A_s3,cui_selective_ml,3000,3,1,96,0.0128818380555,0.0128648031083,0.00132240035104,-0.00412953951576,0.00707402721644,0.09375,0.0208333333333,0.0382248256138
acic2016,A_s3,cui_selective_ml,3000,3,1.25,96,0.0128818380555,0.0128664748649,0.00119262410397,-0.00350359837352,0.00632301157464,0.0729166666667,0.0208333333333,0.0268993414305
acic2016,A_s3,cui_selective_ml,3000,3,1.5,96,0.0128818380555,0.0128635798568,0.00141735974371,-0.0025746341687,0.00600289288993,0.0520833333333,0.0208333333333,0.0205804424578
acic2016,A_s3,cui_selective_ml,3000,3,1.75,96,0.0128818380555,0.0128615177964,0.00157743475882,-0.0018905292567,0.00574705668666,0.03125,0.0104166666667,0.0173090510806
acic2016,A_s3,cui_selective_ml,3000,3,2,96,0.0128818380555,0.0128621050511,0.00153184695639,-0.00147831032775,0.00532558906755,0.03125,0.0104166666667,0.0153174869492
acic2016,A_s3,cui_selective_ml,3000,3,2.25,96,0.0128818380555,0.0128627311895,0.00148324066373,-0.0010869781237,0.00493556643176,0.03125,0.0104166666667,0.0133259228179
acic2016,A_s3,cui_selective_ml,3000,3,2.5,96,0.0128818380555,0.0128633962116,0.00143161588083,-0.000708457335886,0.0045771573633,0.03125,0.0104166666667,0.0113343586865
acic2016,A_s3,cui_selective_ml,3000,3,2.75,96,0.0128818380555,0.0128641001174,0.00137697260769,-0.000333896385105,0.00426373109771,0.03125,0.0104166666667,0.00934279455517
acic2016,A_s3,cui_selective_ml,3000,3,3,96,0.0128818380555,0.0128650442124,0.00130368375983,0,0.00395826174583,0.0208333333333,0,0.00742830944456
acic2016,A_s3,cui_selective_ml,3000,3,3.25,96,0.0128818380555,0.0128670672449,0.00114663843172,0,0.00368235036617,0.0104166666667,0,0.00666293365773
acic2016,A_s3,cui_selective_ml,3000,3,3.5,96,0.0128818380555,0.0128676989409,0.00109760070797,0,0.00352486909308,0.0104166666667,0,0.00637418496474
acic2016,A_s3,cui_selective_ml,3000,3,3.75,96,0.0128818380555,0.0128683313998,0.00104850376362,0,0.00336719763711,0.0104166666667,0,0.00608543627174
acic2016,A_s3,cui_selective_ml,3000,3,4,96,0.0128818380555,0.0128689646216,0.000999347598674,0,0.00320933599825,0.0104166666667,0,0.00579668757875
acic2016,A_s3,cui_selective_ml,3000,3,4.25,96,0.0128818380555,0.0128695986062,0.000950132213123,0,0.00305128417652,0.0104166666667,0,0.00550793888575
acic2016,A_s3,cui_selective_ml,3000,3,4.5,96,0.0128818380555,0.0128702333537,0.000900857606973,0,0.00289304217191,0.0104166666667,0,0.00521919019276
acic2016,A_s3,cui_selective_ml,3000,3,4.75,96,0.0128818380555,0.0128708688641,0.000851523780222,0,0.00273460998441,0.0104166666667,0,0.00493044149976
acic2016,A_s3,cui_selective_ml,3000,3,5,96,0.0128818380555,0.0128715051373,0.000802130732871,0,0.00257598761404,0.0104166666667,0,0.00464169280676
acic2016,A_s3,cui_selective_ml,3000,3,6,96,0.0128818380555,0.012874057859,0.000603966337465,0,0.00193959630376,0.0104166666667,0,0.00348669803478
acic2016,A_s3,cui_selective_ml,3000,3,8,96,0.0128818380555,0.01287919992,0.000204794957842,0,0.000657684904967,0.0104166666667,0,0.00117670849082
acic2016,A_s3,cui_selective_ml,3000,3,10,96,0.0128818380555,0.0128818380555,0,0,0,0,0,0
acic2016,A_s3,ma_dr_bc,3000,3,0,96,0.034316789747,0.0342109058532,0.00308548365332,-0.00867715749896,0.0164762487747,0.114583333333,0.0416666666667,0.114583333333
acic2016,A_s3,ma_dr_bc,3000,3,0.25,96,0.034316789747,0.0341939747914,0.00357885911006,-0.00732255571959,0.0163152918606,0.104166666667,0.03125,0.0911096065754
acic2016,A_s3,ma_dr_bc,3000,3,0.5,96,0.034316789747,0.0341834006822,0.00388699134808,-0.00616168196698,0.0160027370722,0.104166666667,0.03125,0.0780525464841
acic2016,A_s3,ma_dr_bc,3000,3,0.75,96,0.034316789747,0.0341732516441,0.00418273690471,-0.00515015885463,0.0157549332507,0.104166666667,0.03125,0.0649954863928
acic2016,A_s3,ma_dr_bc,3000,3,1,96,0.034316789747,0.0341616618286,0.0045204670829,-0.0041683406861,0.0156144497763,0.0833333333333,0.0208333333333,0.0532552308598
acic2016,A_s3,ma_dr_bc,3000,3,1.25,96,0.034316789747,0.0341579263644,0.004629319461,-0.00349014125624,0.0153104750387,0.0729166666667,0.0208333333333,0.046851705085
acic2016,A_s3,ma_dr_bc,3000,3,1.5,96,0.034316789747,0.0341528659393,0.00477678153844,-0.00282358379011,0.0150248890681,0.0729166666667,0.0208333333333,0.0416387127687
acic2016,A_s3,ma_dr_bc,3000,3,1.75,96,0.034316789747,0.0341546579029,0.00472456326153,-0.00233949190993,0.0145761960895,0.0625,0.0104166666667,0.0379368934977
