block,panel,dataset,method,method_label,c,cells,equal_cell_relative_mse_reduction,ci_lo,ci_hi,mean_activation,mean_harm_rate,equal_cell_gross_harm_mse,equal_cell_gross_benefit_mse
natural,ks_tmle,Kang--Schafer,tmle,plain TMLE (projection),3,8,0,0,0,0,0,0,0
natural,ks_tmle,Kang--Schafer,tmle,plain TMLE (projection),4,8,0,0,0,0,0,0,0
natural,ks_tmle,Kang--Schafer,tmle,plain TMLE (projection),5,8,0,0,0,0,0,0,0
natural,ks_tmle,Kang--Schafer,tmle,plain TMLE (projection),6,8,0,0,0,0,0,0,0
natural,ks_tmle,Kang--Schafer,tmle,plain TMLE (projection),8,8,0,0,0,0,0,0,0
internal,ks_tmle_residual,Kang--Schafer,tmle,plain TMLE (residual),0,8,-0.17109816470998668,-0.28429925482711332,-0.084508895702807507,0.57942708333333326,0.32421875,0.33478784678318008,0.1636896820731934
internal,ks_tmle_residual,Kang--Schafer,tmle,plain TMLE (residual),1,8,-0.077169898180047145,-0.16154450528966441,-0.013106251424304341,0.16276041666666669,0.08984375,0.14009681167834095,0.062926913498293879
internal,ks_tmle_residual,Kang--Schafer,tmle,plain TMLE (residual),2,8,-0.048972136390087379,-0.12145029615161418,0.0039189701713278962,0.10026041666666666,0.049479166666666664,0.089448327503657832,0.040476191113570467
internal,ks_tmle_residual,Kang--Schafer,tmle,plain TMLE (residual),3,8,-0.038526912209457712,-0.1018274232060911,0.0078236063634382069,0.05859375,0.02734375,0.066707538130970745,0.028180625921513009
internal,ks_tmle_residual,Kang--Schafer,tmle,plain TMLE (residual),4,8,-0.033137624883161645,-0.089893120600508192,0.0068984452349403359,0.0390625,0.018229166666666664,0.053758582646880153,0.020620957763718493
internal,ks_tmle_residual,Kang--Schafer,tmle,plain TMLE (residual),5,8,-0.028779322815681699,-0.080716546742576417,0.0070025907279979514,0.031249999999999997,0.015624999999999998,0.045084882960124167,0.016305560144442462
internal,ks_tmle_residual,Kang--Schafer,tmle,plain TMLE (residual),6,8,-0.024486934427223467,-0.073193045034270446,0.0073295470229437195,0.026041666666666664,0.01171875,0.038112887309881022,0.013625952882657555
internal,ks_tmle_residual,Kang--Schafer,tmle,plain TMLE (residual),8,8,-0.018343988141302323,-0.061472757070955925,0.0076866716786282863,0.020833333333333332,0.0091145833333333322,0.027576037727856023,0.0092320495865536763
emphasized,placement_ctmle,placement stress,ctmle,C-TMLE,0,10,0,0,0,0,0,0,0
emphasized,placement_ctmle,placement stress,ctmle,C-TMLE,1,10,0,0,0,0,0,0,0
emphasized,placement_ctmle,placement stress,ctmle,C-TMLE,2,10,0,0,0,0,0,0,0
emphasized,placement_ctmle,placement stress,ctmle,C-TMLE,3,10,0,0,0,0,0,0,0
emphasized,placement_ctmle,placement stress,ctmle,C-TMLE,4,10,0,0,0,0,0,0,0
emphasized,placement_ctmle,placement stress,ctmle,C-TMLE,5,10,0,0,0,0,0,0,0
emphasized,placement_ctmle,placement stress,ctmle,C-TMLE,6,10,0,0,0,0,0,0,0
emphasized,placement_ctmle,placement stress,ctmle,C-TMLE,8,10,0,0,0,0,0,0,0
emphasized,placement_cui,placement stress,cui_selective_ml,selective ML,0,10,0.0087378272510916684,0.00076395216036609815,0.016534624451459212,0.1854166666666667,0.074999999999999997,0.012731880818886196,0.021469708069977861
emphasized,placement_cui,placement stress,cui_selective_ml,selective ML,1,10,0.0032349346673828383,-0.00040047382733079446,0.0079217653712150924,0.018749999999999996,0.008333333333333335,0.0011805886059323739,0.0044155232733151971
emphasized,placement_cui,placement stress,cui_selective_ml,selective ML,2,10,0.0028016866643748471,4.0721060730710749e-05,0.0067303692765732729,0.0083333333333333332,0.0031250000000000002,0.00022181853787768888,0.0030235052022525239
emphasized,placement_cui,placement stress,cui_selective_ml,selective ML,3,10,0.0022536907452777922,0.00010919751671446599,0.0055606540857932223,0.005208333333333333,0,0,0.0022536907452778087
emphasized,placement_cui,placement stress,cui_selective_ml,selective ML,4,10,0.0016529246321874025,1.1718568379524007e-05,0.0044325815215508655,0.0041666666666666666,0,0,0.001652924632187414
